City,State,Price,lon,lat
Raleigh,NC,1462.75,-78.6381787,35.7795897
Providence,RI,1461.15,-71.4128343,41.8239891
Burrillville,RI,1458.67,-71.6847247,41.9661165
Corpus Christi,TX,1454.49,-97.396381,27.8005828
Saint Paul,MN,1452.35,-93.0899578,44.9537029
Arlington,TX,1451.07,-77.1067698,38.8799697
Olympia,WA,1450.12,-122.9006951,47.0378741
Mesa,AZ,1444.44,-111.8314724,33.4151843
Charlotte,NC,1441.86,-80.8431267,35.2270869
Elma,NY,1437.08,-123.4087692,47.0034291
Advance,NC,1431.83,-80.4096909,35.9412419
Azle,TX,1429.92,-97.5458565,32.8951262
Menifee,CA,1428.47,-117.185294,33.6971468
Reno,NV,1426.14,-119.8138027,39.5296329
Delray Beach,FL,1418,-80.0728201,26.4614625
Overland Park,KS,1408.9,-94.6707917,38.9822282
Baltimore,MD,1405.02,-76.6121893,39.2903848
Panama City,FL,1397.46,-79.5198696,8.9823792
Canaan,CT,1392.92,-73.3001233,41.9640877
Eugene,OR,1389.7,-123.0867536,44.0520691
Wilmington,NC,1381.82,-77.9447102,34.2257255
Orlando,FL,1375.11,-81.3792365,28.5383355
Ormond Beach,FL,1373.33,-81.0558894,29.2858129
Tempe,AZ,1370.23,-111.9400054,33.4255104
Henderson,NV,1369.23,-114.9817213,36.0395247
Lake Arrowhead,CA,1368.08,-117.1892078,34.2483396
Watertown,CT,1364.92,-71.1828321,42.3709299
San Bernardino,CA,1364.14,-117.2897652,34.1083449
Yakima,WA,1363.53,-120.5058987,46.6020711
Trenton,NJ,1360.83,-74.7429384,40.2170534
Converse,TX,1359.17,-98.3161241,29.5180081
Salem,OR,1348.99,-70.8967155,42.51954
Philadelphia,PA,1348.27,-75.1652215,39.9525839
Fairview,PA,1345.08,-83.607315,42.4287755
San Antonio,TX,1341.54,-98.4936282,29.4241219
Phoenix,AZ,1340.36,-112.0740373,33.4483771
Lincoln City,OR,1335,-124.0178914,44.9581644
Richmond,VA,1332.55,-77.4360481,37.5407246
Plymouth,CT,1324.92,-70.6672621,41.9584457
Town of Delavan,WI,1318.75,-88.5661953,42.6301938
Rogers,AR,1313.92,-94.1185366,36.3320196
York Township,PA,1305.29,-76.675922,39.9142433
Baton Rouge,LA,1305.15,-91.1403196,30.4582829
Stockton,CA,1296.21,-121.2907796,37.9577016
Barre,VT,1289.33,-72.4483907,44.1608357
Springfield,MA,1288.67,-72.5815724,42.1072647
Missoula,MT,1277.87,-113.996586,46.8787176
Boise,ID,1275.09,-116.2146068,43.6187102
Albuquerque,NM,1267.68,-106.6055534,35.0853336
Savannah,GA,1238.08,-81.0998342,32.0835407
Las Vegas,NV,1224.34,-115.1398296,36.1699412
Hartford,CT,1221.22,-72.6850932,41.7637111
Grand Rapids,MI,1219.39,-85.6680863,42.9633599
Columbus,OH,1209.21,-82.9987942,39.9611755
Hampton,VA,1208.83,-76.3452218,37.0298687
Fort Pierce,FL,1208.35,-80.3256056,27.4467056
Helena,MT,1207.12,-112.0245054,46.5883707
Spring Lake Township,MI,1199.25,-86.1650024,43.0815664
Butler Township,PA,1195.17,-79.9416549,40.8613568
Syracuse,NY,1174.81,-76.1474244,43.0481221
Des Moines,IA,1170.78,-93.6091064,41.6005448
Conway,NH,1170.67,-92.4421011,35.0886963
Jacksonville,FL,1169.38,-81.655651,30.3321838
Lincoln,NE,1165.46,-96.6851982,40.8257625
Lexington,KY,1162.85,-84.5037164,38.0405837
Pittsburgh,PA,1158.15,-79.9958864,40.4406248
Fresno,CA,1143.87,-119.7725868,36.7468422
Tonawanda,NY,1136,-78.880315,43.0203347
Hendersonville,NC,1130.42,-82.4609528,35.3187279
Spokane,WA,1122.76,-117.4260466,47.6587802
Milwaukee,WI,1096.4,-87.9064736,43.0389025
Indianapolis,IN,1090.82,-86.158068,39.768403
Oklahoma City,OK,1087.17,-97.5164276,35.4675602
El Paso,TX,1081.46,-106.4850217,31.7618778
Louisville,KY,1075.04,-85.7584557,38.2526647
Tulsa,OK,1066,-95.992775,36.1539816
Rochester,NY,1058.71,-77.6109219,43.16103
Warren,PA,1057.5,-83.0146526,42.5144566
Little Rock,AR,1054.17,-92.2895948,34.7464809
Lakeland,FL,1045.56,-81.3641024,41.6383625
Winston-Salem,NC,1043.3,-80.244216,36.0998596
Columbia,SC,1039.73,-81.0348144,34.0007104
Kalamazoo,MI,1036.49,-85.5872286,42.2917069
Tucson,AZ,1021.45,-110.926479,32.2217429
New Bern,NC,1000.08,-77.0441143,35.108493
Cincinnati,OH,981.21,-84.5120196,39.1031182
Buffalo,NY,978.46,-78.8783689,42.8864468
Kansas City,MO,967.16,-94.5785667,39.0997265
Saint Louis,MO,944.89,-90.1994042,38.6270025
Beaumont,TX,942.75,-94.1265562,30.080174
Greensburg,PA,909.04,-79.5389289,40.3014581
Greenville,SC,902.21,-82.3940104,34.8526176
Memphis,TN,901.16,-90.0489801,35.1495343
Jackson,MS,899.47,-90.1848103,32.2987573
Knoxville,TN,871.52,-83.9207392,35.9606384
New Port Richey,FL,857.94,-82.7192671,28.2441768
Augusta,GA,850.05,-82.0105148,33.4734978
Shreveport,LA,848.98,-93.7501789,32.5251516
Cleveland,OH,845.14,-81.6943605,41.49932
Akron,OH,843.55,-81.5190053,41.0814447
Toledo,OH,825.03,-83.555212,41.6639383
Wichita,KS,803.12,-97.330053,37.6871761
Detroit,MI,787.77,-83.0457538,42.331427
South Bend,IN,763.47,-86.2519898,41.6763545
Dayton,OH,746.67,-84.1916069,39.7589478
Battle Creek,MI,737.33,-85.1797142,42.3211522
Fort Wayne,IN,732.28,-85.1393513,41.079273
Youngstown,OH,570.15,-80.6495194,41.0997803
